SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,Churn
0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,34,106.35,Yes
0,No,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),11,97.85,Yes
0,Yes,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,10,49.55,No
0,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),70,69.2,No
0,Yes,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,17,20.75,No
0,No,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),63,79.85,No
0,Yes,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,13,76.2,No
0,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,49,84.5,No
0,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,2,49.25,No
0,No,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,2,80.65,Yes
0,No,No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),52,79.75,No
0,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),69,64.15,No
1,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,43,90.25,No
0,No,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),15,99.1,Yes
1,Yes,No,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),25,69.5,No
1,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),8,80.65,Yes
1,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),60,74.85,No
1,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,18,95.45,Yes
0,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),63,99.65,No
1,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,66,108.45,No
0,Yes,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),34,24.95,No
0,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,107.5,No
0,Yes,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,47,100.5,No
0,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60,89.9,No
0,Yes,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),72,42.1,No
0,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),18,54.4,No
0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,9,94.4,Yes
0,No,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3,75.3,No
0,Yes,No,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,47,78.9,No
0,No,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,31,79.2,No
0,Yes,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),50,20.15,No
0,No,No,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,10,79.85,No
0,No,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,1,49.05,No
0,Yes,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,52,20.4,No
1,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),64,111.6,No
0,Yes,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),62,24.25,No
0,No,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),3,64.5,No
1,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,56,110.5,No
0,No,No,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),46,55.65,No
0,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,8,54.65,No
1,No,No,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,30,74.75,No
0,Yes,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),45,25.9,No
0,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,79.35,Yes
0,Yes,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,11,50.55,No
0,Yes,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),7,75.15,Yes
0,No,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),42,103.8,No
0,Yes,No,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),49,20.15,No
0,No,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),9,99.3,No
0,Yes,No,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),35,62.15,No
0,Yes,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),48,20.65,No
0,Yes,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,46,19.95,No
0,Yes,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,29,33.75,No
0,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),30,82.05,No
1,No,No,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,1,74.7,No
0,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,66,84.0,No
0,No,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65,111.05,No
0,No,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),72,100.9,No
0,No,No,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,12,78.95,Yes
0,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),71,66.85,No
0,No,No,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,5,21.05,Yes
0,No,No,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),52,21.0,No
1,Yes,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,25,98.5,Yes
0,No,No,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,20.2,No
0,Yes,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,1,19.45,No
0,No,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),38,95.0,No
1,Yes,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),66,45.55,No
0,Yes,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),68,110.0,Yes
0,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,5,24.3,No
0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,72,104.15,No
0,No,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,32,30.15,No
0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,43,94.35,No
0,Yes,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),72,19.4,No
0,Yes,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,55,96.75,Yes
0,No,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),52,57.95,No
0,No,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,43,91.65,No
1,Yes,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,37,76.5,Yes
0,Yes,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,64,54.6,No
0,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,3,89.85,No
0,No,No,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),36,31.05,No
0,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,10,100.25,Yes
0,No,No,No,No,No,No,No,No,No,No,Two year,No,Mailed check,41,20.65,No
0,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),27,85.2,No
0,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),56,99.8,No
0,No,No,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,6,20.7,No
0,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,3,74.4,Yes
0,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,7,50.7,No
0,Yes,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,4,20.85,No
0,No,No,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,33,88.95,No
1,No,No,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,27,78.05,Yes
0,Yes,No,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),72,23.55,No
0,No,No,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,19.75,No
1,No,No,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,71,56.45,No
0,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,13,85.95,No
0,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),25,58.6,Yes
0,No,No,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),67,50.55,No
0,No,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,35.45,Yes
0,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,2,44.35,Yes
0,No,No,Yes,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),43,25.7,No
0,No,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),23,75.0,No
0,Yes,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,64,20.2,No
0,No,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,57,19.6,No
1,Yes,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,70.45,Yes
1,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,88.05,No
0,No,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,8,71.15,Yes
0,Yes,No,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),61,101.05,No
0,No,No,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),64,84.3,No
1,Yes,No,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),71,23.95,No
0,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),65,99.05,No
0,No,No,No,No,No,No,No,No,No,No,One year,No,Mailed check,3,19.6,No
0,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,45.65,Yes
0,No,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),30,64.5,No
0,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,15,69.5,No
0,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,8,68.55,No
0,No,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,7,95.0,Yes
0,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),70,108.15,No
0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,62,86.1,No
0,Yes,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,6,19.7,No
0,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),14,80.9,No
0,No,No,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),22,84.15,No
0,Yes,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,22,20.15,No
0,Yes,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,16,64.25,No
0,No,No,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),10,25.7,No
0,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,13,56.0,No
0,Yes,No,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,20,82.4,Yes
0,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,69.7,No
0,No,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),53,73.9,No
0,Yes,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,11,20.6,No
0,Yes,No,No,No,No,No,No,No,No,No,Two year,No,Mailed check,69,19.9,No
0,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),4,70.9,Yes
0,Yes,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),72,89.05,No
1,Yes,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,58,45.3,Yes
0,Yes,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,16,20.4,No
0,Yes,No,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),43,84.25,No
0,Yes,No,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2,104.4,Yes
0,Yes,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,14,81.95,No
0,Yes,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),53,94.85,Yes
0,No,No,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),32,20.55,No
0,Yes,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,34,24.7,No
1,No,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,15,74.45,Yes
1,No,No,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),7,76.45,Yes
0,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),15,105.35,No
0,Yes,No,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),61,20.55,No
0,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,29.95,Yes
0,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,45.3,No
0,No,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),8,84.5,Yes
0,Yes,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),33,74.75,No
0,No,No,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,13,79.25,Yes
0,Yes,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,24.8,Yes
0,No,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,20,51.8,No
0,No,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,3,30.4,No
0,No,No,No,No,No,No,No,No,No,No,One year,No,Electronic check,13,19.65,No
0,Yes,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),40,56.6,No
0,Yes,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),43,71.9,No
0,Yes,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,6,91.0,Yes
0,Yes,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),69,19.75,No
0,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),72,109.7,No
0,Yes,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),59,19.3,No
0,Yes,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,20,96.55,No
0,Yes,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24,24.1,No
0,No,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,59,111.35,No
0,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),72,112.25,No
0,No,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,1,20.75,No
0,Yes,No,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),27,101.9,No
0,No,No,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),14,80.05,No
0,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,71,105.55,No
0,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),13,78.3,No
0,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44,68.85,No
0,No,No,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),33,79.95,No
0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),72,55.45,No
0,No,No,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1,79.9,Yes
0,No,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,19,106.6,Yes
0,Yes,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),64,102.45,No
0,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2,46.0,Yes
0,No,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,1,25.25,No
0,No,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,61,19.75,No
0,Yes,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,29,20.0,No
1,Yes,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,23,86.8,No
0,Yes,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),57,58.75,No
0,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),72,45.25,No
0,Yes,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),66,56.6,No
0,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),65,84.2,No
0,No,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),8,80.0,No
0,No,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,4,70.15,Yes
0,Yes,No,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),71,24.75,No
0,Yes,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,1,20.2,No
0,Yes,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,4,50.05,Yes
0,No,No,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),12,19.35,No
0,No,No,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,24,50.6,No
0,Yes,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,31,81.15,No
0,Yes,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,1,55.2,Yes
0,No,No,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),30,89.9,No
0,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),47,85.3,No
0,No,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),54,108.0,No
0,No,No,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),50,93.5,No
0,No,No,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,1,84.6,Yes
0,No,No,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),72,20.25,No
0,No,No,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,29,25.15,No
0,No,No,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2,54.4,Yes
0,No,No,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,10,29.6,No
0,Yes,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,18,73.15,No
1,No,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,11,95.0,Yes
0,No,No,No,No,No,No,No,No,No,No,Two year,No,Mailed check,16,19.75,No
0,No,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),72,86.6,No
0,No,No,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),72,109.2,No
0,Yes,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),41,74.7,No
1,Yes,No,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,65,94.4,No
